feature,val_error,test_error
target_q_4,0.0029195861,0.012269839
target_qd_0,0.0016312037,0.007861095
target_qd_1,0.008160278,0.021002796
target_qd_2,0.008308737,0.028450798
target_qd_3,0.0034793536,0.011487113
target_qd_4,0.0022142443,0.007036408
target_qd_5,0.015601476,0.15774858
target_qdd_0,0.0066806963,0.035733767
target_qdd_1,0.023052914,0.06594737
target_qdd_2,0.025108045,0.078521326
target_qdd_3,0.0069136797,0.035565037
target_qdd_4,0.017538246,0.0700596
target_qdd_5,0.0101908725,0.12099169
target_moment_0,0.006626834,0.03606711
target_moment_1,0.014720884,0.028972158
target_moment_2,0.018232992,0.061072357
target_moment_3,0.023805002,0.06372246
target_moment_4,0.0070628626,0.04026466
target_moment_5,0.010079642,0.11950658
target_TCP_pose_2,0.00631621,0.020671915
target_TCP_pose_3,0.012261547,0.05021895
target_TCP_pose_4,0.010432298,0.05846364
target_TCP_pose_5,0.0017762005,0.009322433
target_TCP_speed_0,0.0055004535,0.014689824
target_TCP_speed_1,0.006481842,0.03035218
target_TCP_speed_2,0.0042928364,0.012035097
target_TCP_speed_3,0.0036447602,0.011182412
target_TCP_speed_4,0.024939839,0.05545006
target_TCP_speed_5,0.0016255997,0.0063634003
actual_execution_time,0.07375479,0.16377729
actual_q_0,0.0037216835,0.013327231
actual_q_1,0.014193917,0.027060013
actual_q_2,0.013414053,0.028083105
actual_q_3,0.009162044,0.029771011
actual_q_4,0.0029956268,0.012391121
actual_q_5,0.035272684,0.20926066
actual_qd_0,0.0016233023,0.007820527
actual_qd_1,0.00843395,0.02143605
actual_qd_2,0.008516647,0.028437858
actual_qd_3,0.0042820666,0.012665957
actual_qd_4,0.060302757,0.08201357
actual_qd_5,0.018970067,0.16067621
actual_current_0,0.031138783,0.06257151
actual_current_1,0.02951878,0.06319148
actual_current_2,0.035639383,0.10003664
actual_current_3,0.08958278,0.20194761
actual_current_4,0.0717247,0.2180481
actual_current_5,0.0705755,0.2954274
joint_temperatures_0,0.033310182,0.060198344
joint_temperatures_1,0.015218219,0.28063208
joint_temperatures_2,0.017021611,0.40642086
joint_temperatures_3,0.03122003,1.1919746
joint_temperatures_4,0.009167112,0.09392692
joint_temperatures_5,0.013827456,0.55495346
actual_TCP_pose_0,0.0062107984,0.017398713
actual_TCP_pose_1,0.011903134,0.04023296
actual_TCP_pose_2,0.0063350536,0.020687388
actual_TCP_pose_3,0.011109141,0.06413568
actual_TCP_pose_4,0.017967273,0.08365372
actual_TCP_pose_5,0.0018238232,0.0092698755
actual_TCP_speed_0,0.0055253557,0.014675483
actual_TCP_speed_1,0.006415813,0.030169496
actual_TCP_speed_2,0.004551345,0.012364285
actual_TCP_speed_3,0.025436217,0.042370856
actual_TCP_speed_4,0.034043778,0.2158477
actual_TCP_speed_5,0.0017732449,0.0062418333
actual_TCP_force_0,0.035057556,0.13762464
actual_TCP_force_1,0.032390367,0.205266
actual_TCP_force_2,0.027964821,0.10541546
actual_TCP_force_3,0.030274864,0.175
actual_TCP_force_4,0.03006176,0.13941185
actual_TCP_force_5,0.069943026,3.5300415
actual_tool_accelerometer_0,0.105809726,0.22730818
actual_tool_accelerometer_1,0.062673174,0.2748529
actual_tool_accelerometer_2,0.043380518,0.18479298
actual_momentum,0.008352656,0.021361902
actual_main_voltage,0.06175337,0.094782494
actual_robot_voltage,0.054342378,0.07806362
actual_robot_current,0.039041087,0.056802996
actual_joint_voltage_0,0.045189444,0.054192387
actual_joint_voltage_1,0.03865152,0.047749273
actual_joint_voltage_2,0.04079039,0.050036736
actual_joint_voltage_3,0.051596057,0.060283728
actual_joint_voltage_4,0.059039194,0.06778248
actual_joint_voltage_5,0.053367447,0.06162849
joint_control_output_0,0.010266815,0.03227423
joint_control_output_1,0.013354385,0.02788418
joint_control_output_2,0.013080346,0.043884657
joint_control_output_3,0.008788955,0.018544873
joint_control_output_4,0.008435352,0.015521275
joint_control_output_5,0.023985095,0.08818653
script_control_line,0.026885118,0.053913455
output_double_register_21,0.016866283,0.04874128
time_in_node,0.04045842,0.42978233
