group,n,val,test,blow_up,share_val,share_test
5 joint temperatures,6,0.01996077,0.43135104,21.60994,5.5011525,20.729296
9 TCP force,6,0.0376154,0.7154599,19.0204,10.366737,34.382626
13 time in node,1,0.04045842,0.42978233,10.622816,1.8583779,3.4423184
3 joint accelerations,6,0.014914076,0.06780314,4.5462513,4.1102924,3.2583933
7 TCP pose,10,0.008613548,0.037405528,4.3426385,3.9564643,2.9959753
1 joint positions,7,0.0116685135,0.04745185,4.0666575,3.7517922,2.6604412
2 joint velocities,12,0.011793673,0.045553077,3.8625011,6.5006304,4.3782587
8 TCP speed,12,0.01035259,0.037645217,3.6363091,5.7063107,3.618208
10 tool accelerometer,3,0.07062114,0.2289847,3.2424383,9.73153,5.502122
4 joint currents,18,0.027034393,0.084284656,3.1176827,22.35189,12.151321
12 program phase,3,0.03916873,0.08881068,2.2673874,5.397416,2.1339731
11 power and momentum,4,0.040872373,0.06275275,1.5353342,7.5095687,2.0104592
6 joint voltages,6,0.048105676,0.056945518,1.1837589,13.257839,2.736612
