batch,bottleneck,seed,anomaly_type,roc_auc,pr_auc,contamination
1024,16,0,change_weight,0.6523631482141018,0.41759503608983795,0.33321830354061704
1024,16,0,drop_object,0.9192206256989269,0.7745374927229456,0.22919098500493848
1024,16,0,force_stop,0.7160195995361417,0.23450221987927797,0.14037555383641606
1024,16,0,long_wait,0.8693358212288431,0.6906866718564411,0.11671773067383646
1024,16,0,outside_box,0.8430747996799267,0.6406918846550461,0.32082216264521896
1024,16,0,push,0.8617965161266169,0.3893644903080235,0.0863515120352219
1024,16,0,scale_speed,0.7594117749993322,0.49328479658835345,0.22707596634556762
1024,16,0,tcp_wrench,0.9713745024518562,0.898487460640207,0.15002253557401327
1024,16,1,change_weight,0.639733204064343,0.40381918422123453,0.33321830354061704
1024,16,1,drop_object,0.9090572894944418,0.7373526755613816,0.22919098500493848
1024,16,1,force_stop,0.6903423860729723,0.21380676861963888,0.14037555383641606
1024,16,1,long_wait,0.8575433777005458,0.657093027185126,0.11671773067383646
1024,16,1,outside_box,0.832955348977298,0.6454713369118511,0.32082216264521896
1024,16,1,push,0.8581123388087742,0.3935888235463581,0.0863515120352219
1024,16,1,scale_speed,0.7520239634378031,0.4467417633921724,0.22707596634556762
1024,16,1,tcp_wrench,0.9779037134005651,0.9147094939070554,0.15002253557401327
1024,16,2,change_weight,0.6635255024150517,0.4139303572083546,0.33321830354061704
1024,16,2,drop_object,0.9171562428674005,0.7826362679405593,0.22919098500493848
1024,16,2,force_stop,0.6810334651139799,0.2259496593926757,0.14037555383641606
1024,16,2,long_wait,0.8596977297549663,0.6788722275707024,0.11671773067383646
1024,16,2,outside_box,0.8330395228022304,0.6516820520413567,0.32082216264521896
1024,16,2,push,0.858677559427166,0.3836510010712588,0.0863515120352219
1024,16,2,scale_speed,0.7538562057658945,0.4967568908163071,0.22707596634556762
1024,16,2,tcp_wrench,0.9801171097390527,0.9182222360571365,0.15002253557401327
1024,16,3,change_weight,0.6626061502756194,0.42579396036293377,0.33321830354061704
1024,16,3,drop_object,0.8968343395486102,0.7160587749102468,0.22919098500493848
1024,16,3,force_stop,0.7039619972580357,0.2421353298072605,0.14037555383641606
1024,16,3,long_wait,0.8801257866935441,0.7052282913441348,0.11671773067383646
1024,16,3,outside_box,0.8151103817376044,0.6067989131561609,0.32082216264521896
1024,16,3,push,0.8599642813243007,0.4087595197076139,0.0863515120352219
1024,16,3,scale_speed,0.752962831802368,0.4621363477729691,0.22707596634556762
1024,16,3,tcp_wrench,0.9850451975123488,0.9349259370576853,0.15002253557401327
1024,16,4,change_weight,0.6699230439444819,0.440191819221062,0.33321830354061704
1024,16,4,drop_object,0.9222639441550948,0.8079852860804686,0.22919098500493848
1024,16,4,force_stop,0.6629827805820264,0.20718228230508262,0.14037555383641606
1024,16,4,long_wait,0.8914752442247338,0.7510088822507618,0.11671773067383646
1024,16,4,outside_box,0.8409902924176073,0.630127012458258,0.32082216264521896
1024,16,4,push,0.8507103809184827,0.3831202407333689,0.0863515120352219
1024,16,4,scale_speed,0.7588311515478726,0.47704594862196725,0.22707596634556762
1024,16,4,tcp_wrench,0.9541534602171184,0.87103706667241,0.15002253557401327
