batch,bottleneck,seed,anomaly_type,roc_auc,pr_auc,contamination
1024,16,0,change_weight,0.6518963797550551,0.4185641299803895,0.33321830354061704
1024,16,0,drop_object,0.9276313497854395,0.790051534366626,0.22919098500493848
1024,16,0,force_stop,0.6807628080344603,0.21127774615634629,0.14037555383641606
1024,16,0,long_wait,0.9116870847421062,0.7775141014553443,0.11671773067383646
1024,16,0,outside_box,0.8356609623275592,0.6265519904936887,0.32082216264521896
1024,16,0,push,0.8480838683302219,0.37085866957443814,0.0863515120352219
1024,16,0,scale_speed,0.7468244788945292,0.4867334443700228,0.22707596634556762
1024,16,0,tcp_wrench,0.9741597235610646,0.9061013429794695,0.15002253557401327
1024,16,1,change_weight,0.6676108633847324,0.44256394290603474,0.33321830354061704
1024,16,1,drop_object,0.937570025332654,0.8231978505694694,0.22919098500493848
1024,16,1,force_stop,0.6586363791560869,0.1990260935319517,0.14037555383641606
1024,16,1,long_wait,0.8977758462749409,0.7501044145441815,0.11671773067383646
1024,16,1,outside_box,0.8405496389534655,0.6699864248715208,0.32082216264521896
1024,16,1,push,0.8457240349405777,0.3805865269783681,0.0863515120352219
1024,16,1,scale_speed,0.7517188928359728,0.4724328009539237,0.22707596634556762
1024,16,1,tcp_wrench,0.9661988760443105,0.8890761039208449,0.15002253557401327
1024,16,2,change_weight,0.7065902090392046,0.4901656885259459,0.33321830354061704
1024,16,2,drop_object,0.9371173725005703,0.8282661999115674,0.22919098500493848
1024,16,2,force_stop,0.7395902211032553,0.24162518340512867,0.14037555383641606
1024,16,2,long_wait,0.8839270734663057,0.7305054971121131,0.11671773067383646
1024,16,2,outside_box,0.846081034427161,0.6499053194179053,0.32082216264521896
1024,16,2,push,0.8566235195815866,0.39181125169451025,0.0863515120352219
1024,16,2,scale_speed,0.751369725624419,0.4549689835223517,0.22707596634556762
1024,16,2,tcp_wrench,0.9439975894334964,0.8604813870390099,0.15002253557401327
1024,16,3,change_weight,0.6597291405661022,0.4037888304436694,0.33321830354061704
1024,16,3,drop_object,0.9012841859194437,0.7371342227752844,0.22919098500493848
1024,16,3,force_stop,0.6409207445816939,0.19370936435358313,0.14037555383641606
1024,16,3,long_wait,0.8235466984995938,0.5829615747706884,0.11671773067383646
1024,16,3,outside_box,0.7621197134965014,0.6059247081928869,0.32082216264521896
1024,16,3,push,0.8482791127955356,0.38274471187123427,0.0863515120352219
1024,16,3,scale_speed,0.6619839492788124,0.3761870011174726,0.22707596634556762
1024,16,3,tcp_wrench,0.9872979937467345,0.9463314146288017,0.15002253557401327
1024,16,4,change_weight,0.6810487851762144,0.46337253426229125,0.33321830354061704
1024,16,4,drop_object,0.9244367838556484,0.8157210761562429,0.22919098500493848
1024,16,4,force_stop,0.7365187146361775,0.24812375253239383,0.14037555383641606
1024,16,4,long_wait,0.8998662768453378,0.783268839637867,0.11671773067383646
1024,16,4,outside_box,0.8443683447576362,0.6578521159096411,0.32082216264521896
1024,16,4,push,0.8350406086234041,0.3800472184473271,0.0863515120352219
1024,16,4,scale_speed,0.7630784066417962,0.5095401485441778,0.22707596634556762
1024,16,4,tcp_wrench,0.9763147414050112,0.9118186994100123,0.15002253557401327
