batch,bottleneck,seed,anomaly_type,roc_auc,pr_auc,contamination
1024,16,0,change_weight,0.6160359595421491,0.40393457167404917,0.33321830354061704
1024,16,0,drop_object,0.9108899093753068,0.8026375965156995,0.22919098500493848
1024,16,0,force_stop,0.7157722905108261,0.2701306501615801,0.14037555383641606
1024,16,0,long_wait,0.885360532760498,0.7295862368486313,0.11671773067383646
1024,16,0,outside_box,0.8328014500038396,0.6230725111046077,0.32082216264521896
1024,16,0,push,0.8637649769784326,0.4157863582782739,0.0863515120352219
1024,16,0,scale_speed,0.7554780646170862,0.5156699258295684,0.22707596634556762
1024,16,0,tcp_wrench,0.9811938180648949,0.9225604772779082,0.15002253557401327
1024,16,1,change_weight,0.6224719203020507,0.39491496413729216,0.33321830354061704
1024,16,1,drop_object,0.9231987086490361,0.7723725224070768,0.22919098500493848
1024,16,1,force_stop,0.6908025328247922,0.22090032819554345,0.14037555383641606
1024,16,1,long_wait,0.8778963806197815,0.721830167651339,0.11671773067383646
1024,16,1,outside_box,0.8457012258062585,0.6702297600358634,0.32082216264521896
1024,16,1,push,0.8627117171943808,0.40959948872674085,0.0863515120352219
1024,16,1,scale_speed,0.7612595651084708,0.4677096025142677,0.22707596634556762
1024,16,1,tcp_wrench,0.9656748757165945,0.8864120069624059,0.15002253557401327
1024,16,2,change_weight,0.620638168502114,0.3737878390775694,0.33321830354061704
1024,16,2,drop_object,0.8985027281648833,0.7456395099386742,0.22919098500493848
1024,16,2,force_stop,0.6095885883277642,0.1679189927174943,0.14037555383641606
1024,16,2,long_wait,0.8171998934782387,0.5465395259691449,0.11671773067383646
1024,16,2,outside_box,0.7991550246155248,0.6047317874013202,0.32082216264521896
1024,16,2,push,0.8469693974754491,0.375942080979121,0.0863515120352219
1024,16,2,scale_speed,0.6747531170944874,0.3239818973500842,0.22707596634556762
1024,16,2,tcp_wrench,0.9890257370930087,0.9549296658637281,0.15002253557401327
1024,16,3,change_weight,0.6295514031723478,0.401434501493886,0.33321830354061704
1024,16,3,drop_object,0.8918811088636679,0.7578172578048374,0.22919098500493848
1024,16,3,force_stop,0.7106660398027503,0.25863317774862926,0.14037555383641606
1024,16,3,long_wait,0.889007082770105,0.7445398266370368,0.11671773067383646
1024,16,3,outside_box,0.829460389932252,0.6391740138510131,0.32082216264521896
1024,16,3,push,0.8761853852416128,0.426006713446212,0.0863515120352219
1024,16,3,scale_speed,0.7373547445312673,0.4510945135016292,0.22707596634556762
1024,16,3,tcp_wrench,0.9876497602438106,0.9468720739689779,0.15002253557401327
1024,16,4,change_weight,0.6201280068943652,0.39081961087884654,0.33321830354061704
1024,16,4,drop_object,0.9367631306430075,0.803241536663011,0.22919098500493848
1024,16,4,force_stop,0.7237096093520592,0.23513523707246237,0.14037555383641606
1024,16,4,long_wait,0.9242330517473277,0.8225921429701426,0.11671773067383646
1024,16,4,outside_box,0.8924601138407765,0.7366272472269157,0.32082216264521896
1024,16,4,push,0.8603248192434201,0.42764844651211376,0.0863515120352219
1024,16,4,scale_speed,0.7772561112932034,0.5351308404631316,0.22707596634556762
1024,16,4,tcp_wrench,0.9689114461025681,0.8930960648823639,0.15002253557401327
